latency_ms,throughput_mbps,packet_loss_rate,tx_packets,rx_packets,jitter_ms,queue_delay_ms,target_cost
58.251,969.406,0.020592,46909,45943,3.568,0.427,105.7538
259.273,73.802,0.405666,4716,2802,37.765,163.161,1759.0054
21.995,823.082,0.012861,14512,14325,3.501,11.297,62.5014
33.935,847.399,0.003642,12146,12101,2.599,4.431,29.0282
15.353,992.804,0.013931,37141,36623,0.343,1.123,62.0898
51.285,890.35,0.019622,21315,20896,2.437,19.499,102.9018
364.077,56.025,0.798154,2446,493,50.0,182.343,3374.7154
49.339,945.864,0.003654,17578,17513,3.592,5.048,35.3612
49.304,663.231,0.001633,13829,13806,1.747,0.79,26.4116
10.342,835.103,0.011568,21302,21055,2.954,18.95,54.1988
53.829,861.905,0.007821,29087,28859,3.611,4.383,53.6922
117.119,177.298,0.055621,13747,12982,13.311,133.811,296.0938
473.721,36.166,0.464069,1800,964,50.0,188.871,2083.5386
124.438,145.449,0.031032,18545,17969,14.742,135.252,200.9536
29.028,783.56,0.008446,41829,41475,3.758,18.577,49.1106
6.585,810.678,0.01398,22145,21835,3.341,0.247,58.6034
11.275,439.206,0.005645,14943,14858,0.859,11.257,29.3414
101.083,253.016,0.17594,12722,10483,25.63,91.199,762.433
188.471,389.719,0.085549,14789,13523,31.79,112.8,440.1444
51.477,459.827,0.008127,9903,9822,2.862,19.384,56.9756
320.739,63.852,0.82066,4492,805,50.0,138.139,3438.5634
53.994,488.119,0.00243,46787,46673,0.633,14.391,34.1958
17.02,655.093,0.008382,7112,7052,2.419,6.972,41.7304
298.12,8.215,0.716623,563,159,50.0,184.078,3022.5556
59.024,862.705,0.007393,36444,36174,2.334,18.674,56.9164
15.123,933.619,0.017601,14897,14634,0.197,10.115,78.4762
277.16,45.561,0.616075,2505,961,40.436,110.431,2597.2502
52.602,658.042,0.015313,31131,30654,2.606,1.902,82.6732
263.533,215.389,0.081223,8519,7827,18.746,126.472,455.5996
251.48,222.092,0.095363,3789,3427,34.062,119.848,506.0136
50.853,769.391,0.019269,19238,18867,2.725,19.011,101.2194
44.161,624.376,0.013125,17665,17433,1.573,8.172,71.7988
438.849,40.352,0.845657,3369,519,50.0,125.277,3583.223
28.618,657.415,0.023737,29451,28751,5.037,17.84,109.9632
493.827,15.93,0.498871,1803,903,50.0,171.884,2227.3916
57.335,614.283,0.01337,9574,9445,5.074,6.356,77.6852
7.96,862.56,0.005677,30548,30374,1.626,4.948,26.8816
6.376,930.541,0.016779,24804,24387,3.31,2.334,70.1332
396.392,61.492,0.311388,3801,2617,50.0,118.221,1427.753
279.026,337.259,0.035375,2595,2503,35.307,60.633,265.237
56.985,439.959,0.007064,28607,28404,4.891,0.382,51.1264
16.809,512.291,0.002801,24340,24271,2.663,17.656,21.4588
269.07,165.223,0.079816,2406,2213,20.64,122.973,451.4866
46.627,718.62,0.003031,19828,19767,3.934,6.887,32.1522
6.606,768.464,0.00204,19076,19037,1.095,15.047,13.8118
176.015,398.321,0.17205,18878,15630,23.505,99.299,778.4658
33.616,714.471,0.003994,37124,36975,2.132,3.769,30.1762
184.729,292.986,0.038046,9004,8661,17.493,55.851,237.2458
392.843,74.84,0.561875,4520,1980,49.394,175.162,2439.6696
13.693,440.688,0.004794,14536,14466,3.772,15.309,27.715
47.851,464.063,0.001308,22489,22459,3.507,12.247,26.8218
118.415,257.12,0.041559,9060,8683,26.571,73.62,228.326
9.412,850.342,0.002846,40598,40482,2.445,3.844,15.9176
13.368,981.83,0.000694,5537,5533,1.298,3.014,8.726
226.739,343.305,0.054409,9818,9283,28.559,119.151,332.1618
20.143,898.81,0.014056,15159,14945,2.448,16.388,67.5588
191.394,173.15,0.05551,15352,14499,28.474,126.198,323.8372
21.238,986.767,0.012334,49944,49327,4.104,19.472,61.7256
47.891,528.591,0.004698,47702,47477,2.526,0.401,38.0286
59.93,683.262,0.013203,43640,43063,4.265,5.82,77.948
464.597,8.149,0.693731,4165,1275,50.0,162.993,2993.3614
